nb_init_infected,density_ref_contact,init_all_ages_successful_contact_rate_human,init_all_ages_factor_contact_rate_asymptomatic,init_all_ages_proportion_asymptomatic,init_all_ages_proportion_hospitalisation,init_all_ages_proportion_icu,init_all_ages_proportion_dead_symptomatic,nb_dead,nb_recovered,nb_susceptibles,nb_infectious,nb_infected,step_max_peak,step_end_epidemiology
46094,323.90625,0.57796875,0.92103125,0.76509375,0.85865625,0.17253125,0.79628125,238188,775823,0,0,0,114,1128
46094,323.90625,0.57796875,0.92103125,0.76509375,0.29728125,0.11015625,0.79628125,238283,775728,0,0,0,129,1200
46094,323.90625,0.57796875,0.92103125,0.76509375,0.29728125,0.17253125,0.48440625,172998,841013,0,0,0,113,1176
46094,94.21875,0.01659375,0.07896875,0.57796875,0.85865625,0.11015625,0.48440625,311188,702823,0,0,0,503,1656
30469,323.90625,0.01659375,0.07896875,0.57796875,0.85865625,0.11015625,0.48440625,310964,703047,0,0,0,418,1368
30469,94.21875,0.57796875,0.07896875,0.57796875,0.85865625,0.11015625,0.48440625,311037,702974,0,0,0,224,1392
30469,94.21875,0.01659375,0.92103125,0.57796875,0.85865625,0.11015625,0.48440625,310910,703101,0,0,0,377,1560
30469,94.21875,0.01659375,0.07896875,0.76509375,0.85865625,0.11015625,0.48440625,173000,841011,0,0,0,527,1680
30469,94.21875,0.01659375,0.07896875,0.57796875,0.29728125,0.11015625,0.48440625,311073,702938,0,0,0,503,1560
30469,94.21875,0.01659375,0.07896875,0.57796875,0.85865625,0.17253125,0.48440625,310994,703017,0,0,0,526,1608
30469,94.21875,0.01659375,0.07896875,0.57796875,0.85865625,0.11015625,0.79628125,427773,586238,0,0,0,527,1656
30469,94.21875,0.01659375,0.07896875,0.57796875,0.85865625,0.11015625,0.48440625,310975,703036,0,0,0,503,1560
33594,201.40625,0.32846875,0.17253125,0.51559375,0.04778125,0.92103125,0.54678125,403033,610978,0,0,0,202,1344
42969,201.40625,0.32846875,0.17253125,0.51559375,0.04778125,0.92103125,0.54678125,402970,611041,0,0,0,181,1176
33594,216.71875,0.32846875,0.17253125,0.51559375,0.04778125,0.92103125,0.54678125,402795,611216,0,0,0,200,1296
33594,201.40625,0.26609375,0.17253125,0.51559375,0.04778125,0.92103125,0.54678125,402883,611128,0,0,0,207,1272
33594,201.40625,0.32846875,0.32846875,0.51559375,0.04778125,0.92103125,0.54678125,402691,611320,0,0,0,173,1272
33594,201.40625,0.32846875,0.17253125,0.32846875,0.04778125,0.92103125,0.54678125,558662,455349,0,0,0,186,1248
33594,201.40625,0.32846875,0.17253125,0.51559375,0.11015625,0.92103125,0.54678125,402819,611192,0,0,0,200,1320
33594,201.40625,0.32846875,0.17253125,0.51559375,0.04778125,0.35965625,0.54678125,402702,611309,0,0,0,186,1272
33594,201.40625,0.32846875,0.17253125,0.51559375,0.04778125,0.92103125,0.73390625,491152,522859,0,0,0,182,1560
33594,216.71875,0.26609375,0.32846875,0.32846875,0.11015625,0.35965625,0.73390625,681038,332973,0,0,0,179,1296
42969,201.40625,0.26609375,0.32846875,0.32846875,0.11015625,0.35965625,0.73390625,681067,332944,0,0,0,177,1224
42969,216.71875,0.32846875,0.32846875,0.32846875,0.11015625,0.35965625,0.73390625,680943,333068,0,0,0,176,1176
42969,216.71875,0.26609375,0.17253125,0.32846875,0.11015625,0.35965625,0.73390625,681073,332938,0,0,0,186,1176
42969,216.71875,0.26609375,0.32846875,0.51559375,0.11015625,0.35965625,0.73390625,491278,522733,0,0,0,159,1176
42969,216.71875,0.26609375,0.32846875,0.32846875,0.04778125,0.35965625,0.73390625,680945,333066,0,0,0,176,1392
42969,216.71875,0.26609375,0.32846875,0.32846875,0.11015625,0.92103125,0.73390625,680707,333304,0,0,0,181,1200
42969,216.71875,0.26609375,0.32846875,0.32846875,0.11015625,0.35965625,0.54678125,558662,455349,0,0,0,168,1272
42969,216.71875,0.26609375,0.32846875,0.32846875,0.11015625,0.35965625,0.73390625,680919,333092,0,0,0,177,1176
8595,446.40625,0.82746875,0.67153125,0.01659375,0.54678125,0.42203125,0.04778125,71476,942535,0,0,0,129,1272
17969,446.40625,0.82746875,0.67153125,0.01659375,0.54678125,0.42203125,0.04778125,71458,942553,0,0,0,128,1296
8595,461.71875,0.82746875,0.67153125,0.01659375,0.54678125,0.42203125,0.04778125,71501,942510,0,0,0,134,1176
8595,446.40625,0.76509375,0.67153125,0.01659375,0.54678125,0.42203125,0.04778125,71426,942585,0,0,0,131,1176
8595,446.40625,0.82746875,0.82746875,0.01659375,0.54678125,0.42203125,0.04778125,71460,942551,0,0,0,131,1248
8595,446.40625,0.82746875,0.67153125,0.82746875,0.54678125,0.42203125,0.04778125,12569,1001442,0,0,0,131,1296
8595,446.40625,0.82746875,0.67153125,0.01659375,0.60915625,0.42203125,0.04778125,71435,942576,0,0,0,136,1224
8595,446.40625,0.82746875,0.67153125,0.01659375,0.54678125,0.85865625,0.04778125,71423,942588,0,0,0,131,1200
