,nb_init_infected,density_ref_contact,init_all_ages_successful_contact_rate_human,init_all_ages_factor_contact_rate_asymptomatic,init_all_ages_proportion_asymptomatic,init_all_ages_proportion_hospitalisation,init_all_ages_proportion_icu,init_all_ages_proportion_dead_symptomatic,nb_dead,nb_recovered,nb_susceptibles,nb_infectious,nb_infected,step_max_peak,step_end_epidemiology,cluster
481,35157,354.53125,0.04778125,0.29728125,0.23490625,0.88984375,0.70271875,0.64034375,745350,268661,0,0,0,229,1200,3
482,35157,354.53125,0.04778125,0.29728125,0.42203125,0.51559375,0.70271875,0.64034375,562928,451083,0,0,0,253,1248,0
483,35157,354.53125,0.04778125,0.29728125,0.42203125,0.88984375,0.45321875,0.64034375,562989,451022,0,0,0,239,1440,0
484,35157,354.53125,0.04778125,0.29728125,0.42203125,0.88984375,0.70271875,0.26609375,233913,780098,0,0,0,229,1200,2
485,35157,354.53125,0.04778125,0.29728125,0.42203125,0.88984375,0.70271875,0.64034375,563030,450981,0,0,0,233,1704,1
486,19532,339.21875,0.98340625,0.57796875,0.73390625,0.01659375,0.95221875,0.76509375,269747,744264,0,0,0,120,1272,6
487,10157,339.21875,0.98340625,0.57796875,0.73390625,0.01659375,0.95221875,0.76509375,269727,744284,0,0,0,127,1224,5
488,19532,109.53125,0.98340625,0.57796875,0.73390625,0.01659375,0.95221875,0.76509375,269787,744224,0,0,0,153,1344,6
489,19532,339.21875,0.54678125,0.57796875,0.73390625,0.01659375,0.95221875,0.76509375,269777,744234,0,0,0,129,1296,6
490,19532,339.21875,0.98340625,0.79628125,0.73390625,0.01659375,0.95221875,0.76509375,269840,744171,0,0,0,110,1320,6
491,19532,339.21875,0.98340625,0.57796875,0.92103125,0.01659375,0.95221875,0.76509375,79998,934013,0,0,0,129,1248,5
492,19532,339.21875,0.98340625,0.57796875,0.73390625,0.39084375,0.95221875,0.76509375,269769,744242,0,0,0,118,1200,5
493,19532,339.21875,0.98340625,0.57796875,0.73390625,0.01659375,0.20371875,0.76509375,269910,744101,0,0,0,128,1248,6
494,19532,339.21875,0.98340625,0.57796875,0.73390625,0.01659375,0.95221875,0.14134375,57208,956803,0,0,0,116,1152,5
495,19532,109.53125,0.54678125,0.79628125,0.92103125,0.39084375,0.20371875,0.14134375,17000,997011,0,0,0,156,1272,6
496,10157,339.21875,0.54678125,0.79628125,0.92103125,0.39084375,0.20371875,0.14134375,17014,996997,0,0,0,148,1176,5
497,10157,109.53125,0.98340625,0.79628125,0.92103125,0.39084375,0.20371875,0.14134375,16971,997040,0,0,0,155,1392,6
498,10157,109.53125,0.54678125,0.57796875,0.92103125,0.39084375,0.20371875,0.14134375,17003,997008,0,0,0,182,1224,5
499,10157,109.53125,0.54678125,0.79628125,0.73390625,0.39084375,0.20371875,0.14134375,57231,956780,0,0,0,158,1200,5
500,10157,109.53125,0.54678125,0.79628125,0.92103125,0.01659375,0.20371875,0.14134375,16947,997064,0,0,0,162,1320,6
501,10157,109.53125,0.54678125,0.79628125,0.92103125,0.39084375,0.95221875,0.14134375,16997,997014,0,0,0,156,1344,6
502,10157,109.53125,0.54678125,0.79628125,0.92103125,0.39084375,0.20371875,0.76509375,80248,933763,0,0,0,161,1272,6
503,10157,109.53125,0.54678125,0.79628125,0.92103125,0.39084375,0.20371875,0.14134375,16963,997048,0,0,0,180,1344,6
